date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2025-03-13,87.47,88.73,86.65,87.18,15371017.0,87.5645,1.0115606462819124,1.0230557467309014,1.0257031429226886,1.0327988070658407,43.616643136881876,45.963389435125045,47.16857276883758,-0.041240514681623264,0.013604867606135721
2025-03-14,87.66,89.88,87.26,89.76,16011569.0,89.2357,0.9815380697733638,0.9935011883541296,0.997381907308378,1.0030230614973261,53.4322346922004,50.72408419759919,50.12206506621174,-0.013084112149532645,0.01615238105118749
2025-03-17,89.69,91.61,89.69,91.19,14880792.0,91.1125,0.9673601428728087,0.9792192126329643,0.9829542713016778,0.987232700954052,57.815698515788355,53.09357049286953,51.650768805430545,0.017291387773315403,0.016224367555925056
2025-03-18,91.7,91.905,90.62,91.34,15403262.0,91.2782,0.9674997653977288,0.9787606744033283,0.9823647908911759,0.985647580468579,58.25954128765086,53.33705432365028,51.808861280185546,0.024795242903624004,0.016097570696841975
2025-03-19,91.46,93.24,91.44,92.83,15871295.0,92.5624,0.9544482233268187,0.964052569212539,0.9677518043735861,0.9699289022945167,62.482281838562955,55.70003101840783,53.35481806689614,0.035933489565896704,0.016539877330517663
2025-03-20,92.32,93.48,91.93,93.17,16581799.0,92.9376,0.9526288351553996,0.9615863475367606,0.9655296769346355,0.9663877857679511,63.39237544218162,56.22332526813105,53.70065516637352,0.02384615384615385,0.016129302666738756
2025-03-21,92.86,93.08,91.935,92.52,18487766.0,92.4007,0.9629500957321971,0.9697650958351347,0.9733030696065715,0.9732722654561177,60.37700724126078,54.9398494176956,52.93502979869064,0.05351856069232519,0.012565606140034529
2025-03-24,92.22,93.395,92.07,92.85,11912264.0,92.8793,0.9640510808523733,0.9678585532220426,0.9708820678513732,0.96997253634895,61.38135839951425,55.47369016240438,53.28010448410223,0.06760952052431879,0.011956239975751463
2025-03-25,93.26,94.04,92.95,93.23,11146002.0,93.3432,0.9658908076799313,0.9648861239229145,0.967963102005792,0.9661986485037003,62.55828238371403,56.093334447810115,53.679161823853875,0.08786464410735118,0.010595051882016837
2025-03-26,94.1,94.82,93.545,93.78,12785834.0,94.1204,0.9661822502513481,0.960130091703988,0.9630390275111963,0.9607149712092129,64.25619739920117,56.98952898658547,54.25621856704823,0.0909725453699397,0.010559187660922502
2025-03-27,93.5,93.85,92.4976,92.87,9573864.0,93.1079,0.9798335615068683,0.9709127454147374,0.9728308388069344,0.9702837299450844,59.45231525888208,55.06574923586743,53.13857167482326,0.062221205535857305,0.010873554251380457
2025-03-28,92.82,93.17,91.965,92.43,11124370.0,92.4536,0.9878595384924498,0.976515561325688,0.977431569836633,0.9749978362003678,57.22461789083325,54.151415723852985,52.60393525983854,0.04938692098092656,0.011094525604464913
2025-03-31,92.23,94.0,92.1,93.45,14406865.0,93.4029,0.9817167316364749,0.9670626003210273,0.9668079186730871,0.9645141787051899,60.88374015287936,55.90716252067799,53.70572163499511,0.06946669718471066,0.010741476916770666
2025-04-01,93.5,94.085,92.49,94.0,13560608.0,93.4677,0.9806990881458967,0.9623617021276596,0.961159574468085,0.9591090425531915,62.73485368199291,56.829331487863705,54.290376010571755,0.07085896559580762,0.01074450307207044
2025-04-02,93.2,94.21,92.98,94.13,16980299.0,93.8384,0.9846185366742045,0.961779808066858,0.9599702539041752,0.9580728779347711,63.17840479964456,57.04897576895798,54.42918362215966,0.07972011929341583,0.010264571920937621
2025-04-03,89.65,90.34,86.71,86.74,37828922.0,88.0462,1.0660183141737214,1.0413688417492892,1.040594881254323,1.0396230112981324,36.54755784576016,43.91099208355931,46.27744866221614,-0.03364527629233527,0.0232395430133261
2025-04-04,83.65,84.59,78.76,78.76,50375957.0,80.3417,1.1627548429224408,1.141730150668698,1.1426155408836973,1.1443543676993395,24.52552757253183,34.92610322154323,39.72226826609603,-0.1363088057901085,0.03273258757061289
2025-04-07,76.21,81.58,74.98,78.25,56953356.0,77.8864,1.1583842994066638,1.143761448349308,1.1467246006389777,1.1511488817891373,23.982568472523837,34.45993310301381,39.35869068840281,-0.14331070724764616,0.032584098887347174
2025-04-08,80.66,81.075,75.22,76.44,45269235.0,78.3323,1.1704978694774613,1.1650880865166582,1.1702354788069071,1.1775019623233909,22.111617714286353,32.850164322430786,38.09592183366724,-0.17655930194980074,0.03178577629604551
2025-04-09,74.95,83.21,74.49,82.36,59481160.0,79.1539,1.0769877888017763,1.078602072203335,1.084385624089364,1.0924150072850898,38.900813918882186,42.0151173195607,44.08336374690517,-0.11602447139637229,0.03989470247616861
2025-04-10,80.22,80.22,75.48,76.98,39523259.0,77.5167,1.137837286122555,1.1485147657400188,1.156866718628215,1.1678332034294623,32.12391586173359,37.23712686368632,40.45486251223684,-0.16796368352788582,0.04272496011272706
2025-04-11,77.34,79.48,75.82,78.89,20958409.0,77.6687,1.0976495300871012,1.1155913296995816,1.1260007605526683,1.1387602991507162,36.36250312046865,39.753337750787615,42.178966342531155,-0.15035002692514798,0.04369370584459658
2025-04-14,80.76,80.76,78.38,79.17,16374089.0,79.3975,1.0810823002941228,1.1080038735211148,1.1198787419477074,1.1340116205633446,36.98375287765817,40.11741428349176,42.428325066737905,-0.150809825163574,0.04367982658188426
2025-04-15,79.1,80.52,79.005,79.05,11083453.0,79.5426,1.069413571880365,1.1063461943917352,1.1192662871600254,1.1349898798228968,36.81786310197133,40.01021865092931,42.3484569497022,-0.15706973768394117,0.043507617617162944
