date,open,high,low,close,volume,vwap
2025-02-13,225.19,227.325,224.79,227.1,3242587.0,226.3462
2025-02-14,228.72,228.92,226.22,227.0,1712797.0,227.04
2025-02-18,226.94,227.2389,224.915,226.37,3783725.0,226.0299
2025-02-19,225.32,226.36,224.88,226.24,1998193.0,225.7222
2025-02-20,225.62,225.62,222.57,224.29,2366172.0,223.5716
2025-02-21,224.82,224.885,217.52,218.39,4521473.0,219.8156
2025-02-24,219.37,219.69,216.66,217.57,2976786.0,218.0768
2025-02-25,217.45,217.95,213.41,216.43,4003193.0,215.5908
2025-02-26,217.89,219.11,215.08,215.54,3071861.0,216.8346
2025-02-27,216.54,217.14,212.26,212.43,3399576.0,214.4029
2025-02-28,212.51,216.1,211.66,215.96,3848168.0,214.1085
2025-03-03,217.22,218.37,209.72,211.98,5491764.0,213.4101
2025-03-04,208.37,211.86,205.49,208.24,6921407.0,208.4146
2025-03-05,208.39,211.79,207.47,211.41,5064064.0,210.0045
2025-03-06,208.28,209.79,205.14,206.05,4877719.0,206.8365
2025-03-07,204.78,206.25,200.27,205.67,4899448.0,204.2359
2025-03-10,202.94,203.22,196.58,198.33,7206342.0,199.2276
2025-03-11,198.22,199.915,194.39,196.39,7189786.0,196.9109
2025-03-12,199.79,199.99,195.12,197.53,4274190.0,197.5999
2025-03-13,197.23,197.23,191.69,192.6,4996553.0,193.3833
2025-03-14,195.55,196.91,193.85,196.7,3147802.0,195.9435
2025-03-17,196.72,198.13,195.31,197.01,3026599.0,196.8484
2025-03-18,195.17,195.18,192.7,193.5,4123455.0,193.6261
2025-03-19,194.85,198.33,194.38,197.21,4915706.0,196.5098
2025-03-20,195.76,199.255,195.6,196.74,4293234.0,197.168
2025-03-21,194.39,197.56,193.38,197.45,4897426.0,196.2761
2025-03-24,199.75,204.47,199.75,204.29,4284199.0,203.0028
2025-03-25,204.78,206.04,203.55,205.92,3710682.0,205.014
2025-03-26,205.48,205.93,202.06,203.23,3093845.0,203.718
2025-03-27,202.59,206.43,202.08,203.36,3368548.0,204.2894
2025-03-28,202.19,202.51,196.45,197.04,4943331.0,198.028
2025-03-31,193.19,198.13,191.81,197.46,5110459.0,195.2452
2025-04-01,197.21,201.13,196.14,199.52,5548742.0,199.0459
2025-04-02,195.93,204.49,195.7601,203.31,4677993.0,201.7738
2025-04-03,192.28,194.93,190.13,191.03,6898131.0,192.13
2025-04-04,184.62,189.35,181.69,182.79,12643191.0,185.2392
2025-04-07,175.85,189.22,173.1001,180.63,20616981.0,180.1869
2025-04-08,187.44,188.46,173.96,176.34,8704075.0,182.1952
2025-04-09,176.04,196.145,175.75,195.54,14659256.0,186.9504
2025-04-10,190.83,190.95,181.8,187.9,8300267.0,187.1143
2025-04-11,187.49,190.1,184.14,189.72,4133366.0,188.1148
2025-04-14,192.55,193.57,187.72,190.27,3860294.0,190.3139
2025-04-15,189.96,191.55,187.83,188.9,3338150.0,189.5621
2025-04-16,187.08,188.54,181.88,184.24,4289810.0,185.1384
2025-04-17,185.31,186.6,183.8,185.4,3811808.0,185.3514
2025-04-21,182.73,182.95,177.97,180.45,4901019.0,179.8223
2025-04-22,182.52,187.95,182.495,186.16,4282448.0,185.6364
2025-04-23,192.88,194.95,189.87,190.32,4478762.0,192.249
2025-04-24,190.3,194.295,189.83,194.11,2670630.0,192.8613
2025-04-25,194.1,197.73,193.62,197.6,2984445.0,196.4093
2025-04-28,198.37,199.9,194.92,197.67,2781062.0,197.2658
2025-04-29,196.16,199.34,195.93,199.07,2568275.0,197.9019
2025-04-30,194.2,197.81,191.63,197.26,2940962.0,194.9689
2025-05-01,198.25,200.94,197.92,198.35,3679653.0,199.1762
2025-05-02,200.45,202.58,199.14,201.43,3728726.0,201.3342
2025-05-05,199.81,200.45,198.63,199.29,2338492.0,199.5965
2025-05-06,196.86,199.0,196.68,197.55,2405829.0,197.6776
2025-05-07,197.97,199.98,197.25,199.09,2679679.0,198.8396
